Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.2997859999998
FDW14,OUT017,1435.9121343750003
NCN55,OUT010,584.757764772727
FDQ58,OUT017,2649.1102324324324
FDY38,OUT027,6280.890879999996
FDH56,OUT046,1922.1493817142866
FDL48,OUT018,713.858654545455
FDC48,OUT027,2517.882088484848
FDN33,OUT045,1879.2570116129027
FDA36,OUT017,2752.970934653465
FDT44,OUT017,1922.1493817142866
FDQ56,OUT045,1435.9121343750003
NCC54,OUT019,584.757764772727
FDU11,OUT049,2142.7435709401716
DRL59,OUT013,713.858654545455
FDM24,OUT049,2286.4132673684203
FDI57,OUT045,3130.004904950496
DRC12,OUT018,2893.8398258992797
NCM42,OUT027,3242.062071532848
FDA46,OUT010,482.69954262295073
FDA31,OUT013,2778.5893175257743
NCJ31,OUT035,3737.295775182482
FDG52,OUT046,798.2176035398229
NCL19,OUT019,281.4820818181817
FDS10,OUT035,3384.108064242422
FDX22,OUT010,584.757764772727
NCF19,OUT035,798.2176035398229
NCE06,OUT046,2503.5013364485994
DRC27,OUT046,3643.5197259842535
FDE21,OUT035,1922.1493817142866
NCR42,OUT019,92.67548155339803
FDX51,OUT018,2893.8398258992797
NCR06,OUT018,507.04640366972495
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2503.5013364485994
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.882088484848
FDD48,OUT010,281.4820818181817
NCF18,OUT017,2939.3484761904765
NCD43,OUT027,2517.882088484848
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.4820818181817
NCY54,OUT017,2778.5893175257743
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.757764772727
FDC26,OUT013,1649.2997859999998
FDR14,OUT010,165.91858165137623
NCS41,OUT035,3384.108064242422
FDF41,OUT035,3737.295775182482
FDU34,OUT046,1987.2510486486485
DRH11,OUT046,935.0323883040935
FDM03,OUT013,1461.8437959999997
FDS31,OUT017,3384.108064242422
FDJ20,OUT017,2142.7435709401716
FDV44,OUT027,5329.314724444444
FDG02,OUT049,2752.970934653465
FDA09,OUT013,3259.562084905661
FDT04,OUT013,507.04640366972495
FDL58,OUT019,584.757764772727
FDE52,OUT045,1435.9121343750003
FDW12,OUT035,2286.4132673684203
FDL51,OUT017,3643.5197259842535
NCY42,OUT027,3242.062071532848
FDR07,OUT017,1573.0706258064515
FDN40,OUT045,2286.4132673684203
FDB35,OUT027,2517.882088484848
FDA22,OUT017,2286.4132673684203
NCL06,OUT046,4034.300306896551
FDI35,OUT013,3384.108064242422
NCW42,OUT045,4340.218358415841
NCX06,OUT049,2778.5893175257743
FDC37,OUT027,2517.882088484848
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3454.0625591549283
NCG06,OUT045,4034.300306896551
DRC36,OUT045,3259.562084905661
FDV21,OUT019,281.4820818181817
FDB53,OUT046,3053.0998777777772
DRP47,OUT019,584.757764772727
FDA14,OUT013,3053.0998777777772
DRC24,OUT035,2644.477842708333
FDW21,OUT018,1372.6884907407407
NCH29,OUT046,1682.2122382352943
FDU58,OUT013,2893.8398258992797
FDY27,OUT017,2552.005235185187
FDV56,OUT035,1682.2122382352943
FDT59,OUT046,3945.4325672131163
FDB23,OUT046,3945.4325672131163
FDR49,OUT045,798.2176035398229
FDB03,OUT010,584.757764772727
FDN39,OUT045,2453.7477006993013
FDX02,OUT027,5329.314724444444
FDQ16,OUT027,2517.882088484848
FDU35,OUT018,1372.6884907407407
NCT29,OUT013,1987.2510486486485
FDZ27,OUT046,798.2176035398229
FDN57,OUT017,2309.200798
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3384.108064242422
NCU05,OUT013,1284.789766871165
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1461.8437959999997
FDZ25,OUT017,3053.0998777777772
FDG12,OUT046,2243.669596721312
DRB01,OUT019,482.69954262295073
NCC43,OUT027,6280.890879999996
FDX13,OUT019,584.757764772727
FDM22,OUT049,796.6402682539683
FDJ03,OUT027,1378.2631852760749
FDU14,OUT018,3327.952582926828
FDB33,OUT010,346.89728372093043
FDP27,OUT046,3391.5912527272735
FDO38,OUT010,165.91858165137623
FDE28,OUT027,6280.890879999996
FDO27,OUT035,1879.2570116129027
DRL23,OUT027,2517.882088484848
FDS28,OUT046,935.0323883040935
FDX24,OUT013,1435.9121343750003
FDZ02,OUT035,1682.2122382352943
FDL46,OUT045,1827.8328454545456
FDS60,OUT027,5329.314724444444
NCO06,OUT017,583.8145788617885
FDO16,OUT035,1435.9121343750003
FDC60,OUT049,1458.455008053691
FDA48,OUT018,3327.952582926828
FDZ36,OUT027,5329.314724444444
FDK27,OUT045,1827.8328454545456
FDW23,OUT018,507.04640366972495
FDM14,OUT018,1372.6884907407407
FDM14,OUT013,1649.2997859999998
FDW60,OUT018,3259.562084905661
FDE21,OUT013,1922.1493817142866
NCM42,OUT035,1682.2122382352943
FDY59,OUT010,219.21852093023253
DRI49,OUT049,1202.6567333333328
FDT28,OUT019,346.89728372093043
FDQ22,OUT018,507.04640366972495
FDR60,OUT049,1202.6567333333328
FDC50,OUT019,219.21852093023253
FDV24,OUT013,2503.5013364485994
DRF48,OUT010,482.69954262295073
FDQ47,OUT046,583.8145788617885
DRN36,OUT049,1573.0706258064515
NCY06,OUT035,1987.2510486486485
